doc_id,item,category,amount,price,discount
FP17160,жидкое мыло 500мл,мыло,5,386.03,0.0
GR79259,порошок для цветного 200гр,стиральные порошки,4,435.36,0.0
PS27319,жидкий порошок 1л,стиральные порошки,3,789.19,0.0
JH26472,порошок для деликатных тканей 800гр,стиральные порошки,5,700.49,0.0
JH26472,детское мыло 100г,мыло,1,66.57,1.63
JH26472,банное мыло 150гр,мыло,1,96.68,0.0
MG84457,хозяйственное мыло 200гр,мыло,1,127.17,0.0
MG84457,жидкий порошок 1л,стиральные порошки,2,633.05,0.0
MG84457,порошок для деликатных тканей 800гр,стиральные порошки,4,898.89,0.0
MG84457,детское мыло 100г,мыло,3,63.31,0.0
XH85546,детское мыло 100г,мыло,3,56.01,0.0
BX94787,порошок для цветного 200гр,стиральные порошки,5,394.06,0.0
BX94787,порошок для детского белья 400гр,стиральные порошки,2,470.8,0.0
BX94787,ароматное мыло 100гр,мыло,5,219.6,0.0
BX94787,порошок для деликатных тканей 800гр,стиральные порошки,1,754.2,0.0
AH86501,ароматное мыло 100гр,мыло,1,251.08,0.0
AH86501,порошок для детского белья 400гр,стиральные порошки,1,547.15,46.95
AH86501,жидкое мыло 500мл,мыло,2,295.81,0.0
AH86501,ароматное мыло 100гр,мыло,4,233.24,0.0
LM97125,детское мыло 100г,мыло,2,63.16,30.72
LM97125,жидкое мыло 500мл,мыло,3,327.15,0.0
LM97125,детское мыло 100г,мыло,3,53.46,0.0
EJ97693,порошок для цветного 200гр,стиральные порошки,4,463.89,173.12
EJ97693,ароматное мыло 100гр,мыло,3,284.97,209.03
QD36020,порошок для цветного 200гр,стиральные порошки,3,448.56,176.55
LP75492,порошок для цветного 200гр,стиральные порошки,1,520.68,77.37
RN84544,жидкое мыло 500мл,мыло,1,348.75,0.0
RN84544,порошок для цветного 200гр,стиральные порошки,4,452.17,0.0
RN84544,порошок для цветного 200гр,стиральные порошки,2,381.96,125.51
RN84544,порошок для деликатных тканей 800гр,стиральные порошки,1,657.49,0.0
FB88063,ароматное мыло 100гр,мыло,4,241.96,0.0
FB88063,детское мыло 100г,мыло,2,55.4,0.0
FB88063,жидкое мыло 500мл,мыло,2,293.7,54.45
PB99147,порошок для детского белья 400гр,стиральные порошки,4,519.55,0.0
TN90277,порошок для цветного 200гр,стиральные порошки,1,473.43,0.0
TN90277,порошок для детского белья 400гр,стиральные порошки,3,444.06,0.0
TN90277,детское мыло 100г,мыло,1,65.23,18.04
TN90277,хозяйственное мыло 200гр,мыло,4,99.82,84.97
YR49704,жидкий порошок 1л,стиральные порошки,3,633.85,0.0
