doc_id,item,category,amount,price,discount
UU16821,хозяйственное мыло 200гр,мыло,5,137.44,0.0
UU16821,жидкое мыло 500мл,мыло,4,377.18,0.0
UU16821,жидкое мыло 500мл,мыло,1,326.68,91.63
RD72406,жидкий порошок 1л,стиральные порошки,1,774.71,0.0
RD72406,порошок для деликатных тканей 800гр,стиральные порошки,4,804.49,0.0
RD72406,жидкий порошок 1л,стиральные порошки,4,911.02,0.0
QJ39704,жидкое мыло 500мл,мыло,3,326.77,0.0
QJ39704,порошок для цветного 200гр,стиральные порошки,4,555.93,264.18
FU30975,порошок для детского белья 400гр,стиральные порошки,1,582.5,0.0
FU30975,порошок для цветного 200гр,стиральные порошки,5,399.68,0.0
FU30975,жидкое мыло 500мл,мыло,2,308.02,102.63
ZJ78111,порошок для деликатных тканей 800гр,стиральные порошки,5,621.73,0.0
ZJ78111,порошок для цветного 200гр,стиральные порошки,1,540.65,0.0
ZJ78111,жидкое мыло 500мл,мыло,5,342.45,45.37
UR81232,детское мыло 100г,мыло,5,67.15,0.0
UR81232,жидкий порошок 1л,стиральные порошки,3,815.42,567.78
UR81232,порошок для деликатных тканей 800гр,стиральные порошки,1,743.18,0.0
UR81232,порошок для деликатных тканей 800гр,стиральные порошки,2,728.12,0.0
LW27492,порошок для детского белья 400гр,стиральные порошки,2,565.54,0.0
