doc_id,item,category,amount,price,discount
ZK35472,жидкое мыло 500мл,мыло,4,388.26,0.0
LG97439,ароматное мыло 100гр,мыло,1,282.86,0.0
LG97439,порошок для деликатных тканей 800гр,стиральные порошки,1,627.15,0.0
LG97439,порошок для цветного 200гр,стиральные порошки,2,519.9,0.0
FH64429,хозяйственное мыло 200гр,мыло,1,127.03,15.95
FH64429,порошок для деликатных тканей 800гр,стиральные порошки,4,848.94,0.0
FH64429,порошок для деликатных тканей 800гр,стиральные порошки,4,716.86,0.0
ZW23158,жидкое мыло 500мл,мыло,1,384.01,0.0
ZN73419,детское мыло 100г,мыло,3,65.56,0.0
ES61723,порошок для детского белья 400гр,стиральные порошки,4,495.36,0.0
ES61723,банное мыло 150гр,мыло,2,139.41,0.0
ES61723,жидкое мыло 500мл,мыло,4,282.29,0.0
ES61723,жидкий порошок 1л,стиральные порошки,3,665.48,66.88
VG37127,порошок для деликатных тканей 800гр,стиральные порошки,2,667.61,210.43
JR45648,порошок для деликатных тканей 800гр,стиральные порошки,5,654.45,0.0
JR45648,порошок для детского белья 400гр,стиральные порошки,5,563.7,0.0
AQ39988,банное мыло 150гр,мыло,2,110.79,0.0
AQ39988,порошок для детского белья 400гр,стиральные порошки,3,405.05,0.0
