doc_id,item,category,amount,price,discount
YW33814,жидкий порошок 1л,стиральные порошки,4,690.29,0.0
NL76472,жидкий порошок 1л,стиральные порошки,5,810.53,0.0
VQ77233,банное мыло 150гр,мыло,4,112.06,0.0
VQ77233,порошок для деликатных тканей 800гр,стиральные порошки,1,659.28,132.65
VQ77233,банное мыло 150гр,мыло,1,122.26,2.12
VQ77233,банное мыло 150гр,мыло,4,129.17,0.0
SZ69853,жидкое мыло 500мл,мыло,1,293.64,69.97
DR48409,порошок для цветного 200гр,стиральные порошки,2,423.01,0.0
JW52288,банное мыло 150гр,мыло,4,114.84,0.0
JW52288,ароматное мыло 100гр,мыло,4,193.57,0.0
JW52288,детское мыло 100г,мыло,4,63.25,0.0
JW52288,порошок для деликатных тканей 800гр,стиральные порошки,3,864.41,0.0
RN38391,ароматное мыло 100гр,мыло,4,237.04,124.97
RN38391,порошок для деликатных тканей 800гр,стиральные порошки,1,689.68,156.9
RN38391,порошок для деликатных тканей 800гр,стиральные порошки,1,715.52,28.84
RN38391,ароматное мыло 100гр,мыло,1,266.87,59.99
BY73109,банное мыло 150гр,мыло,3,133.01,0.0
BY73109,банное мыло 150гр,мыло,2,114.69,0.0
BY73109,жидкий порошок 1л,стиральные порошки,3,776.7,0.0
UA26941,порошок для деликатных тканей 800гр,стиральные порошки,5,708.25,727.73
UA26941,порошок для детского белья 400гр,стиральные порошки,2,596.07,0.0
KR57189,порошок для деликатных тканей 800гр,стиральные порошки,4,790.46,0.0
DT63634,порошок для деликатных тканей 800гр,стиральные порошки,1,614.48,0.0
DT63634,хозяйственное мыло 200гр,мыло,3,121.42,0.0
DT63634,порошок для цветного 200гр,стиральные порошки,5,480.7,143.01
