doc_id,item,category,amount,price,discount
EN14749,порошок для цветного 200гр,стиральные порошки,3,499.89,0.0
EN14749,жидкое мыло 500мл,мыло,3,372.41,0.0
GC55627,детское мыло 100г,мыло,3,69.48,49.94
BB49639,порошок для детского белья 400гр,стиральные порошки,4,438.1,0.0
BB49639,жидкое мыло 500мл,мыло,2,294.33,0.0
BB49639,порошок для цветного 200гр,стиральные порошки,4,416.11,0.0
BB49639,ароматное мыло 100гр,мыло,3,201.71,0.0
KL94373,жидкий порошок 1л,стиральные порошки,2,784.03,0.0
KL94373,жидкий порошок 1л,стиральные порошки,3,740.82,0.0
KL94373,хозяйственное мыло 200гр,мыло,2,142.82,0.0
TW96705,хозяйственное мыло 200гр,мыло,2,113.76,0.0
TW96705,порошок для цветного 200гр,стиральные порошки,3,504.46,375.92
TW96705,банное мыло 150гр,мыло,1,113.98,0.0
SM86734,жидкий порошок 1л,стиральные порошки,5,802.1,0.0
SM86734,банное мыло 150гр,мыло,4,105.65,119.47
SM86734,жидкий порошок 1л,стиральные порошки,3,704.27,0.0
JZ68821,порошок для детского белья 400гр,стиральные порошки,4,594.52,434.71
JZ68821,порошок для цветного 200гр,стиральные порошки,3,450.68,308.27
ST50473,хозяйственное мыло 200гр,мыло,1,127.45,0.0
ST50473,хозяйственное мыло 200гр,мыло,4,102.28,0.0
ZT37764,детское мыло 100г,мыло,4,66.73,0.0
ZT37764,ароматное мыло 100гр,мыло,1,250.98,0.0
LG75761,детское мыло 100г,мыло,4,50.97,0.0
LG75761,порошок для цветного 200гр,стиральные порошки,1,530.75,0.0
LG75761,ароматное мыло 100гр,мыло,4,285.59,0.0
LG75761,банное мыло 150гр,мыло,1,110.37,26.33
LF71225,порошок для деликатных тканей 800гр,стиральные порошки,5,777.65,0.0
LF71225,хозяйственное мыло 200гр,мыло,2,120.02,37.45
TN12276,жидкий порошок 1л,стиральные порошки,5,746.27,0.0
TN12276,порошок для деликатных тканей 800гр,стиральные порошки,1,747.97,0.0
TN12276,жидкий порошок 1л,стиральные порошки,2,792.71,0.0
TN12276,порошок для цветного 200гр,стиральные порошки,4,499.06,0.0
ED29937,жидкий порошок 1л,стиральные порошки,1,744.15,0.0
XB67860,детское мыло 100г,мыло,3,53.97,0.0
XB67860,хозяйственное мыло 200гр,мыло,4,132.5,0.0
XR64894,порошок для цветного 200гр,стиральные порошки,5,510.3,0.0
XR64894,порошок для деликатных тканей 800гр,стиральные порошки,5,602.56,0.0
YW62454,ароматное мыло 100гр,мыло,1,287.27,36.6
YW62454,порошок для цветного 200гр,стиральные порошки,5,534.4,514.89
YW62454,детское мыло 100г,мыло,2,51.33,2.85
ES26991,хозяйственное мыло 200гр,мыло,2,119.15,0.0
ES26991,порошок для деликатных тканей 800гр,стиральные порошки,4,892.37,0.0
QQ32667,банное мыло 150гр,мыло,1,104.01,0.0
QQ32667,порошок для цветного 200гр,стиральные порошки,4,523.35,0.0
SD59301,банное мыло 150гр,мыло,4,99.57,0.0
SD59301,банное мыло 150гр,мыло,4,121.61,0.0
EV94183,банное мыло 150гр,мыло,2,130.41,4.54
EV94183,порошок для деликатных тканей 800гр,стиральные порошки,5,638.26,951.01
EV94183,ароматное мыло 100гр,мыло,5,284.7,62.92
