doc_id,item,category,amount,price,discount
DR18056,хозяйственное мыло 200гр,мыло,3,135.05,0.0
KX57717,порошок для цветного 200гр,стиральные порошки,2,457.49,0.0
KX57717,ароматное мыло 100гр,мыло,2,239.59,0.0
KX57717,жидкое мыло 500мл,мыло,3,354.63,187.03
DB60699,порошок для детского белья 400гр,стиральные порошки,5,495.04,0.0
DB60699,порошок для детского белья 400гр,стиральные порошки,4,448.19,238.62
DB60699,хозяйственное мыло 200гр,мыло,2,98.53,44.69
MF48727,порошок для деликатных тканей 800гр,стиральные порошки,5,679.69,709.26
MF48727,банное мыло 150гр,мыло,3,135.26,0.0
HW59555,порошок для детского белья 400гр,стиральные порошки,4,474.88,0.0
HW59555,жидкий порошок 1л,стиральные порошки,1,814.47,0.0
HW59555,жидкий порошок 1л,стиральные порошки,5,893.69,89.37
QF61121,порошок для цветного 200гр,стиральные порошки,4,521.53,505.05
QF61121,детское мыло 100г,мыло,5,58.92,0.0
PJ63295,ароматное мыло 100гр,мыло,4,274.38,0.0
PJ63295,порошок для детского белья 400гр,стиральные порошки,4,537.1,119.45
GF19076,ароматное мыло 100гр,мыло,4,278.7,0.0
GF19076,банное мыло 150гр,мыло,1,136.2,0.0
GF19076,ароматное мыло 100гр,мыло,2,215.8,0.0
GF19076,детское мыло 100г,мыло,1,66.03,0.0
EV61146,ароматное мыло 100гр,мыло,3,252.32,0.0
MD83496,порошок для детского белья 400гр,стиральные порошки,5,462.37,485.49
EM45535,порошок для цветного 200гр,стиральные порошки,3,410.76,0.0
EM45535,порошок для цветного 200гр,стиральные порошки,1,531.79,150.66
EM45535,хозяйственное мыло 200гр,мыло,4,114.13,0.0
UG38941,банное мыло 150гр,мыло,3,133.54,119.34
